"","Department","Municipality","Precinct","Turnout","MAS.vote","Fraud.type"
"183","Chuquisaca","Sucre","Esc. Aniceto Arce",0.841,0.318,"Clean"
"184","Chuquisaca","Sucre","Salon Multifuncional La Hoyada",0.86,0.259,"Clean"
"185","Chuquisaca","Sucre","Salon Multifuncional La Hoyada",0.929,0.243,"Clean"
"186","Chuquisaca","Sucre","Salon Multifuncional La Hoyada",0.833,0.221,"Clean"
"187","Chuquisaca","Sucre","Salon Multifuncional La Hoyada",0.905,0.261,"Clean"
"188","Chuquisaca","Sucre","U.E. San Roque Nivel Inicial",0.858,0.144,"Clean"
"189","Chuquisaca","Sucre","U.E. San Roque Nivel Inicial",0.915,0.152,"Clean"
"190","Chuquisaca","Sucre","U.E. San Roque Nivel Inicial",0.881,0.236,"Clean"
"191","Chuquisaca","Sucre","U.E. San Roque Nivel Inicial",0.892,0.193,"Clean"
"192","Chuquisaca","Sucre","U.E. San Roque Nivel Inicial",0.907,0.212,"Clean"
"193","Chuquisaca","Sucre","U.E. San Roque Nivel Inicial",0.902,0.186,"Clean"
"194","Chuquisaca","Sucre","U.E. San Roque Nivel Inicial",0.874,0.139,"Clean"
"195","Chuquisaca","Sucre","Col. Don Bosco",0.924,0.158,"Clean"
"196","Chuquisaca","Sucre","Col. Don Bosco",0.862,0.146,"Clean"
"197","Chuquisaca","Sucre","Col. Don Bosco",0.861,0.096,"Clean"
"198","Chuquisaca","Sucre","Col. Don Bosco",0.911,0.126,"Clean"
"199","Chuquisaca","Sucre","Col. Don Bosco",0.883,0.146,"Clean"
"200","Chuquisaca","Sucre","Col. Don Bosco",0.891,0.143,"Clean"
"201","Chuquisaca","Sucre","Col. Don Bosco",0.903,0.13,"Clean"
"202","Chuquisaca","Sucre","Col. Don Bosco",0.885,0.148,"Clean"
"203","Chuquisaca","Sucre","Kinder Municipal",0.91,0.157,"Clean"
"204","Chuquisaca","Sucre","Kinder Municipal",0.893,0.122,"Clean"
"205","Chuquisaca","Sucre","Kinder Municipal",0.922,0.165,"Clean"
"206","Chuquisaca","Sucre","Kinder Municipal",0.91,0.152,"Clean"
"207","Chuquisaca","Sucre","Kinder Municipal",0.894,0.179,"Clean"
