"","DEPARTMENT","DEP.CODE","DISTRICT","ELECTORATE","VOTES","VALID","NULL.","BLANK","MAS","PDC","PVB.IEP","MSM","UD","P.MAS.VOTE","P.TURNOUT","P.NULL","P.BLANK","P.14.YOUNGER","P.65.OLDER","P.LITERATE","P.RURAL","P.MALE","MESAS"
"45","Santa Cruz",5,45,136137,118343,104642,2852,10849,20400,12068,5551,1842,64781,0.195,0.869,0.0241,0.092,0.296,0.04,0.986,0.008,0.496,765
"46","Santa Cruz",5,46,105271,91066,77122,2374,11570,28981,2695,1286,871,43289,0.376,0.865,0.0261,0.127,0.296,0.04,0.986,0.008,0.496,592
"47","Santa Cruz",5,47,106125,91953,77865,2305,11783,29293,7072,1756,1658,38086,0.376,0.866,0.0251,0.128,0.296,0.04,0.986,0.008,0.496,597
"48","Santa Cruz",5,48,120646,104896,85011,2858,17027,42377,10114,2368,1850,28302,0.498,0.869,0.0272,0.162,0.296,0.04,0.986,0.008,0.496,678
"49","Santa Cruz",5,49,96224,83888,65676,2426,15786,39705,3856,49,1564,20502,0.605,0.872,0.0289,0.188,0.296,0.04,0.986,0.008,0.496,541
"50","Santa Cruz",5,50,117566,102579,80298,3091,19190,40178,6667,51,4662,28740,0.5,0.873,0.0301,0.187,0.296,0.04,0.986,0.008,0.496,661
"51","Santa Cruz",5,51,143353,124120,103519,3457,17144,37557,13458,2201,2502,47801,0.363,0.866,0.0279,0.138,0.296,0.04,0.986,0.008,0.496,806
"52","Santa Cruz",5,52,112852,98536,80465,2581,15490,42000,1696,41,2946,33782,0.522,0.873,0.0262,0.157,0.335,0.043,0.96,0.239,0.518,634
"53","Santa Cruz",5,53,82735,67131,48104,1379,17648,28158,2342,41,1421,16142,0.585,0.811,0.0205,0.263,0.383,0.037,0.95,0.51,0.527,465
"54","Santa Cruz",5,54,86649,69967,54067,1540,14360,21182,8791,24,861,23209,0.392,0.807,0.022,0.205,0.369,0.04,0.975,0.49,0.523,487
"55","Santa Cruz",5,55,96148,79286,59062,2264,17960,29034,2601,42,1106,26279,0.492,0.825,0.0286,0.227,0.352,0.042,0.966,0.381,0.509,540
"56","Santa Cruz",5,56,94723,81540,61658,2682,17200,30003,1379,31,1433,28812,0.487,0.861,0.0329,0.211,0.339,0.062,0.938,0.569,0.518,532
"57","Santa Cruz",5,57,109448,95303,72805,2588,19910,38868,2399,2662,4134,24742,0.534,0.871,0.0272,0.209,0.349,0.039,0.96,0.245,0.521,615
"58","Beni",6,58,72646,62392,52623,1149,8620,18255,2710,27,612,31019,0.347,0.859,0.0184,0.138,0.322,0.044,0.985,0.092,0.501,423
"59","Beni",6,59,38746,32058,23912,854,7292,11021,1176,369,736,10610,0.461,0.827,0.0266,0.227,0.388,0.045,0.938,0.497,0.526,226
"60","Beni",6,60,57366,48592,39087,1012,8493,13588,967,22,1600,22910,0.348,0.847,0.0208,0.175,0.371,0.042,0.977,0.188,0.511,334
"61","Beni",6,61,46908,38389,32279,769,5341,12539,564,9,1629,17538,0.388,0.818,0.02,0.139,0.352,0.05,0.97,0.323,0.526,273
"62","Pando",7,62,38636,33380,27666,1297,4417,12766,3641,286,1366,9607,0.461,0.864,0.0389,0.132,0.333,0.028,0.983,0.195,0.528,261
"63","Pando",7,63,17282,13842,10413,457,2972,5760,274,1,182,4166,0.555,0.801,0.033,0.215,0.404,0.021,0.971,0.894,0.557,117
