Beni,Chuquisaca,Cochabamba,La Paz,Oruro,Pando,Potosi,Santa Cruz,Tarija,Turnout,MAS.vote,Pred_Fraud_num,Pred_Fraud_type,Department,Precinct,Municipality
0,1,0,0,0,0,0,0,0,0.857,0.251,0,Clean,Chuquisaca,Esc. Josefina Goytia,Sucre
0,1,0,0,0,0,0,0,0,0.923,0.147,0,Clean,Chuquisaca,Esc. Josefina Goytia,Sucre
0,1,0,0,0,0,0,0,0,0.856,0.216,0,Clean,Chuquisaca,Esc. Josefina Goytia,Sucre
0,1,0,0,0,0,0,0,0,0.9,0.209,0,Clean,Chuquisaca,Esc. Josefina Goytia,Sucre
0,1,0,0,0,0,0,0,0,0.917,0.175,0,Clean,Chuquisaca,Esc. Josefina Goytia,Sucre
0,1,0,0,0,0,0,0,0,0.921,0.191,0,Clean,Chuquisaca,Esc. Josefina Goytia,Sucre
0,1,0,0,0,0,0,0,0,0.878,0.204,0,Clean,Chuquisaca,Col. Cardenal Maurer,Sucre
0,1,0,0,0,0,0,0,0,0.889,0.152,0,Clean,Chuquisaca,Col. Cardenal Maurer,Sucre
0,1,0,0,0,0,0,0,0,0.89,0.127,0,Clean,Chuquisaca,Col. Cardenal Maurer,Sucre
0,1,0,0,0,0,0,0,0,0.847,0.103,0,Clean,Chuquisaca,Col. Cardenal Maurer,Sucre
0,1,0,0,0,0,0,0,0,0.857,0.188,0,Clean,Chuquisaca,Col. Cardenal Maurer,Sucre
0,1,0,0,0,0,0,0,0,0.881,0.209,0,Clean,Chuquisaca,Col. Cardenal Maurer,Sucre
0,1,0,0,0,0,0,0,0,0.874,0.129,0,Clean,Chuquisaca,Col. Cardenal Maurer,Sucre
0,1,0,0,0,0,0,0,0,0.931,0.172,0,Clean,Chuquisaca,Col. Cardenal Maurer,Sucre
0,1,0,0,0,0,0,0,0,0.874,0.234,0,Clean,Chuquisaca,Col. Cardenal Maurer,Sucre
0,1,0,0,0,0,0,0,0,0.891,0.13,0,Clean,Chuquisaca,Col. Cardenal Maurer,Sucre
0,1,0,0,0,0,0,0,0,0.893,0.323,0,Clean,Chuquisaca,Salon Multifuncional America,Sucre
0,1,0,0,0,0,0,0,0,0.898,0.316,0,Clean,Chuquisaca,Salon Multifuncional America,Sucre
0,1,0,0,0,0,0,0,0,0.875,0.217,0,Clean,Chuquisaca,Salon Multifuncional America,Sucre
0,1,0,0,0,0,0,0,0,0.879,0.267,0,Clean,Chuquisaca,Salon Multifuncional America,Sucre
0,1,0,0,0,0,0,0,0,0.862,0.356,0,Clean,Chuquisaca,Salon Multifuncional America,Sucre
0,1,0,0,0,0,0,0,0,0.9,0.267,0,Clean,Chuquisaca,Salon Multifuncional America,Sucre
0,1,0,0,0,0,0,0,0,0.86,0.196,0,Clean,Chuquisaca,Salon Multifuncional America,Sucre
0,1,0,0,0,0,0,0,0,0.786,0.494,0,Clean,Chuquisaca,(Cárcel) Cárcel Pública,Sucre
0,1,0,0,0,0,0,0,0,0.903,0.342,0,Clean,Chuquisaca,Esc. Aniceto Arce,Sucre
0,1,0,0,0,0,0,0,0,0.858,0.261,0,Clean,Chuquisaca,Esc. Aniceto Arce,Sucre
0,1,0,0,0,0,0,0,0,0.903,0.328,0,Clean,Chuquisaca,Esc. Aniceto Arce,Sucre
0,1,0,0,0,0,0,0,0,0.882,0.321,0,Clean,Chuquisaca,Esc. Aniceto Arce,Sucre
0,1,0,0,0,0,0,0,0,0.867,0.308,0,Clean,Chuquisaca,Esc. Aniceto Arce,Sucre
0,1,0,0,0,0,0,0,0,0.823,0.335,0,Clean,Chuquisaca,Esc. Aniceto Arce,Sucre
0,1,0,0,0,0,0,0,0,0.87,0.311,0,Clean,Chuquisaca,Esc. Aniceto Arce,Sucre
0,1,0,0,0,0,0,0,0,0.922,0.311,0,Clean,Chuquisaca,Esc. Aniceto Arce,Sucre
0,1,0,0,0,0,0,0,0,0.868,0.33,0,Clean,Chuquisaca,Esc. Aniceto Arce,Sucre
0,1,0,0,0,0,0,0,0,0.888,0.25,0,Clean,Chuquisaca,Esc. Aniceto Arce,Sucre
0,1,0,0,0,0,0,0,0,0.841,0.324,0,Clean,Chuquisaca,Esc. Aniceto Arce,Sucre
0,1,0,0,0,0,0,0,0,0.818,0.382,0,Clean,Chuquisaca,Esc. Aniceto Arce,Sucre
0,1,0,0,0,0,0,0,0,0.866,0.337,0,Clean,Chuquisaca,Esc. Aniceto Arce,Sucre
0,1,0,0,0,0,0,0,0,0.875,0.337,0,Clean,Chuquisaca,Esc. Aniceto Arce,Sucre
0,1,0,0,0,0,0,0,0,0.833,0.26,0,Clean,Chuquisaca,Esc. Aniceto Arce,Sucre
0,1,0,0,0,0,0,0,0,0.873,0.281,0,Clean,Chuquisaca,Esc. Aniceto Arce,Sucre
0,1,0,0,0,0,0,0,0,0.867,0.358,0,Clean,Chuquisaca,Esc. Aniceto Arce,Sucre
0,1,0,0,0,0,0,0,0,0.906,0.333,0,Clean,Chuquisaca,Esc. Aniceto Arce,Sucre
0,1,0,0,0,0,0,0,0,0.832,0.259,0,Clean,Chuquisaca,Esc. Aniceto Arce,Sucre
0,1,0,0,0,0,0,0,0,0.878,0.277,0,Clean,Chuquisaca,Esc. Aniceto Arce,Sucre
0,1,0,0,0,0,0,0,0,0.915,0.194,0,Clean,Chuquisaca,Esc. Aniceto Arce,Sucre
0,1,0,0,0,0,0,0,0,0.855,0.292,0,Clean,Chuquisaca,Esc. Aniceto Arce,Sucre
